Date,Aapl,Adbe,CVX,Goog,IBM,Mdlz,Msft,Nflx,Orcl,Sbux
2007-01-03,11.107141,38.869999,50.777351,251.001007,79.2425,17.519524,24.118482999999998,3.258571,15.696321,15.752188
2007-02-01,10.962033,39.25,48.082939,224.94995099999997,74.503204,16.019426,22.092464,3.218571,15.028588000000001,13.930813
2007-03-01,12.037377000000001,41.700001,51.900383000000005,229.30931099999998,75.561348,16.009354000000002,21.857189,3.312857,16.583584,14.138198000000001
2007-04-02,12.930043,41.560001,54.588032,235.925919,81.93428,16.924608,23.480597,3.167143,17.196436,13.984914000000002
2007-05-01,15.701322,44.060001,57.59826700000001,249.204208,85.786057,17.111704,24.146753,3.128572,17.726965,12.988567
2007-06-01,15.811448,40.150002,59.542004000000006,261.611603,84.699646,17.950714,23.186863,2.77,18.028816,11.82992
2007-07-02,17.070766,40.290001000000004,60.262958999999995,255.25524900000002,89.04528,16.677612,22.809202,2.461429,17.489143,12.028288
2007-08-01,17.941408,42.75,62.469437,257.882874,94.237984,16.326239,22.683865,2.502857,18.5502,12.420514
2007-09-04,19.883505,43.66,66.612236,283.91891499999997,95.134415,17.72064,23.260239000000002,2.964286,19.803342999999998,11.811886999999999
2007-10-01,24.609837,47.900002,65.138763,353.85385099999996,93.77765699999999,17.1558,29.063457,3.781429,20.27899,12.028288
2007-11-01,23.608341,42.139998999999996,62.896679000000006,346.846832,85.243889,17.74118,26.616703,3.3,18.458729,10.545039
2007-12-03,25.663155,42.73,66.881027,346.08609,87.610428,16.893877,28.201029,3.802857,20.654018,9.2286
2008-01-02,17.53718,34.93,59.657616000000004,282.432434,86.808075,15.154268,25.824539,3.592857,18.797169,8.525297
2008-02-01,16.197536,33.650002,62.548466000000005,235.825821,92.631477,16.137976000000002,21.630577,4.5114279999999995,17.196436,8.10602
2008-03-03,18.591795,35.59,61.610165,220.45546000000002,93.67282900000001,16.194613,22.56896,4.95,17.891610999999997,7.889619000000001
2008-04-01,22.536884,37.290001000000004,69.398048,287.432434,98.196198,16.5184,22.680296,4.5685720000000005,19.071581,7.317058
2008-05-01,24.454365,44.060001,72.04255699999999,293.193207,105.728958,16.962301,22.604156,4.337143,20.891842,8.200696
2008-06-02,21.693451,39.389998999999996,72.028023,263.47348,96.824951,14.996203,21.957639999999998,3.724286,19.208786,7.0961490000000005
2008-07-01,20.593491,41.349998,61.441432999999996,237.112106,104.544487,16.772554,20.528914999999998,4.412857,19.693579,6.622771000000001
2008-08-01,21.96423,42.830002,63.194691000000006,231.876877,99.826286,16.609151999999998,21.868919,4.405715,20.059462,7.014997999999999
2008-09-02,14.725739,39.470001,60.383438,200.460464,95.91458100000001,17.407118,21.388107,4.411428,18.577639,6.703922
2008-10-01,13.939312,26.639999,54.614506000000006,179.859863,76.241272,15.509609,17.894207,3.537143,16.729939,5.919468
2008-11-03,12.006283999999999,23.16,58.343964,146.626633,67.291237,14.462523999999998,16.31312,3.282857,14.717588000000001,4.0259599999999995
2008-12-01,11.057907,21.290001,54.622238,153.978973,69.402344,14.426944,15.683832,4.27,16.217703,4.2649029999999994
2009-01-02,11.677202000000001,19.309998999999998,52.074622999999995,169.434433,75.578949,15.071722,13.795963,5.162857,15.394469,4.255886
2009-02-02,11.570964,16.700001,45.24324,169.164169,76.305176,12.240067,13.118857,5.177143,14.214501,4.125144000000001
2009-03-02,13.6193,21.389999,50.109627,174.204208,80.33476999999999,12.13574,14.922194000000001,6.131429,16.528702,5.008781
2009-04-01,16.302477,27.35,49.260059000000005,198.18318200000002,85.57489,12.740076,16.457466,6.472857,17.736351000000003,6.519080000000001
2009-05-01,17.595482,28.18,50.165421,208.823822,88.580597,14.21553,17.07699,5.631429,17.96562,6.487521
2009-06-01,18.453167,28.299999,49.849396,211.006012,87.030357,13.952106,19.431309,5.905715,19.643879000000002,6.262104
2009-07-01,21.168736,32.419998,52.272265999999995,221.74675,98.290459,15.603894,19.226942,6.277143,20.34465,7.979786
2009-08-03,21.793213,31.42,53.152561,231.066071,98.849388,15.6094,20.263988,6.232857,20.11482,8.561364
2009-09-01,24.013863,33.040001000000004,53.524947999999995,248.17317200000002,100.15565500000001,14.624016000000001,21.143601999999998,6.595714,19.158724,9.309751
2009-10-01,24.421976,32.939999,58.168388,268.328339,100.993011,15.319867000000002,22.795959,7.635714,19.44449,8.556855
2009-11-02,25.900249,35.080002,59.830349,291.791779,106.274231,14.796586999999999,24.283903,8.375714,20.347599,9.873294999999999
2009-12-01,27.302084000000004,36.779999,59.025352000000005,310.300293,110.10128,15.291499,25.167404,7.87,22.605370999999998,10.396263000000001
2010-01-04,24.883207000000002,32.299999,55.291709999999995,265.235229,102.943436,15.561547000000001,23.26829,8.892858,21.293638,9.823703
2010-02-01,26.510475,34.650002,55.960209,263.66366600000003,107.43391399999999,15.994751,23.783585000000002,9.435715,22.761847,10.328638
2010-03-01,30.446495000000002,35.369999,58.692429000000004,283.843842,108.35481999999999,17.175674,24.297915,10.534286,23.74065,10.941774
2010-04-01,33.826706,33.599998,63.034572999999995,263.113098,108.988472,16.812170000000002,25.334867000000003,14.128572,23.934195000000003,11.761223
2010-05-03,33.281258,32.080002,57.709251,243.05806,106.371109,16.24419,21.499313,15.878572,20.881126000000002,11.72048
2010-06-01,32.588116,26.43,53.014076,222.69769300000002,104.859528,16.062217999999998,19.174389,15.521428,19.854185,11.000682000000001
2010-07-01,33.329193,28.719998999999998,59.537323,242.667664,109.037598,16.756334,21.507647,14.65,21.917953,11.249669
